index,caption,rank,caption_length
754,Preoperative Sister Mary Joseph's nodule ultrasonography: 4 × 4 cm mass confined below the umbilicus (arrows). The main lesion is partly hyperechoic and partly hypoechoic with a poorly defined edge.,43,30
755,Ultrasonography of the abdomen showing bulky pancreas,1,7
756,Complete avulsion of the plantar fascia from the calcaneal tubercle.,136,10
757,Apical four-chamber view showing dilated cardiomyopathy.,20,6
758,Computed tomographic pulmonary angiogram showing clots in the pulmonary artery,19,10
759,Gastrograffin swallow demonstrating radio‐opaque LAGB slippage (arrow corresponds to narrowing seen in ).,6,13
760,Initial high‐resolution computed tomography (HRCT) showed multiple cysts and nodules with a stellate pattern suggestive of pulmonary Langerhans cell histiocytosis.,2,20
761,Severe facet arthrosis affecting C3-6 bilaterally (arrows).,1,7
762,"Coronal T2-weighted Fast Inversion Recovery image shows a large cystic mass extending from the right anterior thorax to the axilla (black arrow), and a cystic lesion in the proximal right humerus (white arrow). This right chest mass was surgically excised four years before presentation, and the histopathology revealed thin-walled, dilated lymphatic vessels consistent with a lymphangioma.",10,56
763,CT scan demonstrating a patient with a stoma and a large incisional hernia with loss of domain.,16,17
764,Transit œsogastroduodénal en faveur d'un méga œsophage,21,7
765,"Solid hypoechogenic lesion with prevalence of superiorinferior dimension over latero-lateral dimension, giving acoustic shadow, in color Doppler with pathological vessels, with hyperechogenic “halo”, BIRADS-usg 5. In histopathological examination: lobular invasive cancer",1,31
766,Orthopantomogram shows generalized periodontal bone loss and missing posterior teeth,9,10
767,Panoramic radiograph showed bilateral pericoronal radiolucencies.,7,6
768,Immediate postoperative computed tomography scan of the patient who underwent repair of cerebrospinal fluid leak through purely endoscopic pterional extradural approach did not show any retractional injury to frontal lobe,1,30
769,Non-contrast computed tomography of abdomen showing massively enlarged liver (arrowed) with multiple cysts,47,13
770,Radiograph showing giant calculi in a 60-year-old woman.,46,8
771,High-resolution computed tomography scan taken after 10 weeks of peginterferon-α2a treatment showing bilateral linear and lenticular interstitial opacities predominantly in the lung bases and periphery,8,25
772,Plain abdominal radiograph demonstrating two surgical clips in the right upper quadrant.,9,12
773,Radiologic findings in the patient at the age of 9 months. Axial contrast-enhanced computed tomography shows left cervical adenopathy (arrows).,16,20
774,The glistening appearance at the tips and sides of the hair shaft is well appreciated when the hairs are placed against a dark background,10,24
775,Morphology of phage BtCS33 particles under TEM.The virion was negatively stained with 2% potassium phosphotungstate. The white arrows indicate the putative tail fiber structure.,32,24
776,"CT scan 24 hours post embolisation in delayed venous phase (45 sec), collimation 5 mm showing complete thrombosis of pseudoaneurysm. Hyperdense small round object (arrow) consistent with coils.",142,28
777,Near infra-red-autofluorescence image of a normal right eye,1,8
778,Panoramic radiograph showing the oral health status,2,7
779,Chest radiograph showing bilateral diffuse interstitial infiltrates and airspace opacities of Pneumocystis pneumonia.,1,13
780,"Radiograph of the hands and forearms showing generalized osteopenia, widening of the distal ends of the radius and ulna along with cupping, fraying and splaying of the metaphyses",8,28
781,Sagittal () and coronal T1W () images at follow up show that the mass has largely disappeared. However there is persistent mild thickening of pituitary stalk,18,26
782,Mandibular true occlusal radiograph,45,4
783,Standard chest X-ray on the tenth postoperative day. New mantle pneumothorax on the right side with diffuse interstitial infiltrates in mid field of the left lung and left pleural effusion. No cysts or bullae visible.,10,35
784,Aortography in left anterior oblique view shows abnormal origin of LCA (left coronary artery) and RCA (right coronary artery) from a single ostium of right sinus of valsalva,61,28
785,Abdominal CT scan of complicated diverticulitis. The arrow shows a sigmoid colon wall infiltration with surrounding air bubbles.,11,18
786,CECT scan of patient showing large heterogenous mass in left lower lung field with necrosis and calcification.,1,17
787,Chest X-ray showing gas under the right hemi-diaphragm,9,8
788,"Barbed arrow tip in right tracheo-esophageal groove, pointed out by the black marker. The barbed end lying vertical.",112,18
789,White line assay (WLA) on King’s B medium. The horizontal streak corresponds to P. tolasii reference strain (JCM21583) whereas the eight vertical bacterial colonies represent isolates proposed to be P. “reactans; 1 = weak white line reaction (WLA +) by P. gingeri (ECAGRI 7 and ECAGRI 8); 2 = strong white line reaction (WLA ++) by P.” reactans” (ECAGRI 1 and ECAGRI 6).,8,63
790,Post-therapy positron emission tomography/computerized tomography showing complete resolution of the lesions following antibiotic treatment.,5,14
791,Initial cerebral angiography showing a right P-com. aneurysm.,3,8
792,Retrograde pyelograms demonstrating bilateral filling defects in both ureters (black arrows).,5,11
793,AP of the right hip following hemiarthroplasty surgery.,2,8
794,Computed tomography scan of the thorax showing a cavitary lesion in the upper lobe of left lung containing an aspergilloma,20,20
795,Hydro-pneumothorax with intercostal drain in situ.,14,6
796,"Overviews of Tl+-uptake in rat brains for WK and NREMS. Shown are frontal hemisections on the level of the dorsal hippocampus arranged as mirror images for WK (left) and NREMS (right). Images were transformed into 8-bit grayscale values and pseudocolored for better visualization, with light colors indicating a high level of Tl+-uptake and vice versa. For quantification of relative Tl+-uptake in cortical fields and the hippocampus, see Table 1. Au auditory cortex, Ect ectorhinal cortex, HP hippocampus, PtA parietal association cortex, RSC retrosplenial cortex, S1BF primary somatosensory cortex, barrel field. Scale bar is 1 mm",6,95
797,There are multifocal hemorrhages without edema in the right temporal white matter.,123,12
798,Immediate post-operative x-ray showing congruent joint reduction,44,7
799,Contrast enhancement in the internal SMA stent was well maintained on contrast-enhanced CT at two weeks after the stenting.,4,19
800,"Plain axial CT scan shows severe right renal parenchymal atrophy, strandings surrounding renal outline with calculi and extensive fatty infiltration",1,20
801,"Post treatment panoramic radiograph of the same patient in , showing the fully erupted second premolar after CAE, extraction of the adjacent first premolar and fixed orthodontic treatment.",4,28
802,MRI showing small fluid collection adjacent to right ischial tuberosity suggesting an infective etiology,6,14
803,Predistraction lateral cephalometric radiograph showing severe maxillary retrusion,1,8
804,Panoramic radiograph reveals partial maxillectomy.,38,5
805,Notch sign in the median nerve (arrows) at the level of the transverse carpal ligament,1,15
806,The Computed Tomography (CT) scan showed a lobulated round nodule in the left upper lobe adjacent to the bronchus measuring 1.8 × 1.6 cm with an absence of significant lymph nodes. It is associated with a focal area of ground glass opacity and mild dilatation with mucus plugging.,12,48
807,Case 7: chest radiograph obtained after removal of a left-sided tube thoracostomy. The chest radiograph noted a ‘small focal lucency at the right apex that could represent a small loculated pneumothorax.’,27,31
808,Atlantoaxial magnetic resonance imaging. Arrows point to the intact alar ligaments.,40,11
809,"Computed tomographic axial view of the emphysema in the upper thorax, splaying the vascular bundle and running posterior to the clavicles with widening of the pectoral muscles.",4,27
810,Labiopalatal (LP) and mesiodistal (MD) root widths of the lateral incisor at level of cementoenamel junction (CEJ),5,17
811,"Chest CT scan shows hematogenous dissemination of variable sized, multiple nodular opacities with vascular connection in the entire lobe of the right lung.",19,23
812,"Pelvi-abdominal computed tomography showing a large, well-defined, oval mass measuring 23 × 18 × 13 cm in dimensions overlapping the left side of the abdominal cavity",31,26
813,Implant angle. The midline was drawn by connecting the nasion and anterior nasal spine (yellow line). The implant line extended from the most superior point to the most inferior point of the implant (red line). The angle between these two lines were used to evaluate implant ridigidity.,18,47
814,"Postoperative X-ray, day of primary TSA.",129,6
815,Six-week intraoral periapical radiograph of the implant showing bone loss mesial and distal to the implant,7,16
816,CT scan showed a well-defined pancreatic tumor.,8,7
817,Coronal reformatted computerized tomography image shows multiple fractures of T2 and T3 left laminas,33,14
818,"Fibroadenoma. Follow-up ultrasonography showing hyperechoic, ovoid nodule with circumscribed margins and largest axis parallel to the skin.",1,17
819,Chest X-ray showing right dominant lung consolidation.,29,7
820,Chest radiograph at 3-month showing right upper lobe opacity replaced by multiple thin-walled cystic lesions (arrowheads) measuring greater than 4 cm in diameter.,23,23
821,"Chest high-resolution computed tomography (HRCT) of patient 2. A single arrow indicates the newly developed bulla, and a double arrow shows the cavitary nodule in the right upper lobe, which was not identified on the previous HRCT conducted 4 months earlier. A small amount of pneumothorax with pleural effusion was also noted.",3,52
822,X-ray of hand showing hypoplastic distal phalynx (arrows).,17,8
823,M-mode of the right atrial mass. M-mode obtained from a subcostal view showing a huge mass in the right atrium prolapsing into the right ventricle during diastole.,24,27
824,Isolated left incompletely impacted molar without the second molar with acute inflammation in a 52-year-old man.,7,16
825,Red free fundus photo showing typical angioid streaks.,2,8
826,Hyperintense areas in subcortical location in Bilateral cerebral hemispheres: Tubers,7,10
827,Apical 4‐chamber view. Color flow Doppler image showing the semicircle of flow of convergence on the left ventricular side of the mitral valve. The radius of the proximal isovelocity region (dotted line) should be measured from the ventricular side of the mitral valve leaflets to the edge of the hemisphere (arrows).,12,51
828,Chest x-ray revealed bilateral diffuse infiltration disclosing a presentation of acute respiratory distress syndrome.,2,14
829,(1) Ilium. (2) Head of femur. (3) Ischial spine. (4) Hematoma. (5) Right obturator internus muscle. (6) Right gluteus maximus. (7) Right trocanter. (8) Gluteus medius.,369,26
830,Thoracic CT showing diffuse soft tissues emphysema of the neck.,12,10
831,Magnetic resonance imaging of the brain; axial section of the brain is shown. The image shows normal study of the brain.,14,21
832,Lateral abdominal radiograph shows the bullet in the pelvic cavity.,6,10
833,An MRI revealed a large pituitary adenoma responsible for visual loss in both eyes (on top of his POAG).,20,19
834,Chest x-ray reveals a right side and upper pneumothorax. Arrow landmarks show that right lung is observed to collapse incompletely.,23,20
835,Coronal reconstruction showing narrowing of trachea by the tracheoesophageal lymph node,14,11
836,CT scan of the chest demonstrated two spiculated masses in the right upper lobe of the lung.,16,17
837,Lateral radiograph showing a sclerotic area in the left calcaneus just inferior to the subtalar joint.,1,16
838,Chest X-ray after emergent intubation on presentation.,2,7
839,MRI Axial T2 FLAIR section showing similar lesions involving the basal ganglia and the splenium of corpus callosum,2,18
840,Further imaging with computerised tomography.,441,5
841,"Surgical treatment of an unstable distal clavicle fracture with a joint-spanning implant (Group 1). (Hk: Hook plate, CL: Clavicle, M: Medial fragment, L: Lateral fragment, arrow: Fracture line, Ac: Acromion, H: Humeral head, Co: Coracoid process)",1,36
842,Abdominal MRI on T1-weighted axial imaging revealed a 1 cm wide heterogeneous metastatic lesion at the left side of posterior L2 and L3 vertebrae corpus.,12,25
843,Grade I dislocated open fracture of the lower extremity (anterior-posterior).,8,10
844,The CT image obtained 15 months later discloses no nodule.,38,10
845,Lateral radiograph of hand.,16,4
846,"MRI of patient 2, a 48-year-old woman with a follicular carcinoma of the thyroid. A lesion is shown in the calcar region of the collum femoris (arrow) suspicious for bone metastasis",27,31
847,A heterogenous hypodense lesion with adjacent fat stranding in the right inguinal canal was noted on the CT scan.,13,19
848,Chest X-ray of 4-month old boy shows homogenous opacity (white arrow) on the rightside with mediastinal shift and herniation of left lung (black arrow).,2,24
849,SBRT plan isodose line of case 1.,3,7
850,B-mode ultrasound image of axillary lymph node suspected of breast cancer metastasis. Thickened lymph node cortex as well as its reduced echogenicity and hilar blurring are noticeable,12,27
851,Contrôle radiologique à 4 mois évolution noté bien la consolidation avec une très bonne réduction,14,15
852,X-ray film demonstrates no bony injury to phalanges (oblique view).,4,10
853,Follow-up frog view radiograph taken 3 months after the left hip arthroscopy demonstrating Grade 3 heterotopic ossification on the left side.,3,21
854,Cephalometric radiograph with the cephalometric tracing,2,6
855,"Pre-operative computed tomography scan. Image shows a solid neoformation occupying the right maxillary sinus, erosion of the anterior and posterior walls of the sinus and mass extension to the corresponding right dental roots and the nasal cavity, with compression and deflection of the nasal septum. There was no enhancement after contrast administration.",28,52
856,Digital subtraction angiography confirming embolized patent foramen ovale occlusion device within abdominal aorta.,6,13
857,Computerized tomography of the neck showed right internal jugular vein thrombosis (arrow) and right para-pharyngeal venous thrombosis.,18,17
858,CT scan of the brain showing a large solid cystic lesion in left parieto occipital area enhancing on contrast,1,19
859,Abdominal plain film radiography demonstrating multiple dilated small bowel loops.,1,10
860,Case 3. Panoramic radiograph showing severe periodontal destruction and migration of teeth,3,12
861,Perfusion imaging in a color Doppler mode in a reticular vessel – Sonix apparatus with an electronic linear array transducer of 40 MHz,31,23
862,"Diagram showing the sites of the three positions (P1, P2, and P3) through the mandible. The coronal computed tomography scans were made perpendicular to the mandibular occlusal plane.",2,28
863,Plain HRCT chest showing calcified and non-calcified lung nodules,99,9
864,Representative illustration depicting typical triangle-shaped excrescence arising from the posterior aspect of the ilium (posterior iliac horn)– classical finding seen in Nail–patella syndrome,12,23
865,CT scan showing huge left paraspinal mass on the left side,38,11
866,"Bilateral accessory parotid tissues in a 59-year-old man.A transverse enhanced CT scan shows the bilateral accessory parotid tissues (arrows), which have the same attenuation as the tissue in the main parotid gland.",7,32
867,Low-resistance flow (RI=0.33) in the wall of the ruptured cystic adnexal tumor,51,12
868,Postoperative OPG showing relapse in 2008,42,6
869,"The T2 weighted axial magnetic resonance imaging of a Leber's congenital amaurosis patient (case 1) shows the absence of the septum pellucidum, which should normally be present in the area indicated between the black arrows. The hemispheric fissure is intact and indicated by the white arrows.",19,46
870,Using a Ultimate Bros 3 wire supported by a FineCross catheter to cross the LAD CTO.,14,16
871,"Lateral fluoroscopic image following a barium swallowing exam demonstrating severe esophageal narrowing from a cervical plate, which has migrated off of the anterior cervical spine. This patient presented with dysphagia",9,30
872,"Brain magnetic resonance image (axial view, T1-weighted image with gadolinium) reveals multiple abscesses with regular ring enhancement.",1,17
873,"4 chamber view echocardiogram with color doppler demonstrating marked right atrial and ventricular enlargement. Tricuspid annular dilatation with secondary, moderate tricuspid regurgitation is also noted.",4,25
874,Percutaneous CT guided drainage of the perinephric abscess.,7,8
875,Representation of angles measured in an anteroposterior pelvic radiograph.,21,9
876,"Coronal CT scan of the abdomen. The mass showed combination of fat (asterisk), calcification (white arrow) and soft tissue (black arrow).",66,21
877,The bladder (A) was dissected from the invasive placenta at the lower uterine segment (B). Note the significant distention of the lower uterine segment by the placenta.,186,27
878,A case of myelofibrosis with ANC of 200/µl. HRCT chest shows multiple small randomly distributed nodules (2-3 mm) in both lungs with tree-in-bud appearance at places suggestive of miliary tuberculosis. Patient′s sputum was positive for AFB,1,36
879,Radiological aspect of the digital mammogram before surgery. Mammogram illustrating the difficulty in identifying the tumor mass due to the high number of skin neurofibromas.,8,25
880,"Imaging plane 65°, The short axis view demonstrating the IAS, TV and a bicuspid aortic valve. The left main (LM) can be seen in most patients.",21,26
881,Congenital thymic cyst in a 47-year-old man. Contrast-enhanced CT scan demonstrates a unilocular unenhanced lesion in the anterior mediastinum which shows a homogeneous fluid-attenuation (arrow),10,25
882,"Coronal image from MRI of the abdomen/pelvis demonstrating atrophic native kidneys with enhancing solid tumors in both kidneys (here, 2 on the right mid-upper pole and 1 on the left upper pole), the largest measuring 3cm x 2.8cm x 3.2cm.",1,40
883,A neuroma in continuity. The abnormal portion marked by the orange arrows is enlarged and hypoechoic compared to the normal portion of the nerve trunk on the left of the image marked by the white arrow.,24,36
884,Midsagittal T1-weighted brain MRI from a 28-year-old woman affected by ataxia with oculomotor apraxia type 4This section displays moderate cerebellar atrophy but no evidence of brainstem atrophy.,5,27
885,Lateral xray Elbow.,28,3
886,CT colonography depicting extensive diverticular disease and narrowing of the distal sigmoid.,54,12
887,"Left kidney, enlarged to 19.05 cm with multiple cysts – longitudinal view",12,12
888,Axial T2 Fat saturated MRI representing mass invading right base of tongue extending across the midline involving the right faucial tonsil. Mass shows immediate T2 signal enhancement with bright focus within.,62,31
889,Cross-section of CT-chest at the level of T2-T3 demonstrating the dilated oesophagus compressing on the trachea (as shown by the arrow),115,21
890,Intravenous urography (18 February 2009): Twenty minutes film 10 cm tomogram showed bilateral hydronephrosis and calculus in lower pole of left kidney.,40,22
891,"Case one. Chest computed tomography scan showing several newly developed nodules, the largest being 7 mm in diameter, at the last follow-up examination 33 months after the first surgery.",5,29
892,Bifurcation stenosis of LAD and Dx and continuation of LAD as PDA.,16,12
893,Retrieval of sheared PentaRay remnant. Still-frame fluoroscopy image in anteroposterior view demonstrating the Jawz Biopsy Forcep and steerable Agilis sheath directed toward the catheter remnant in the area of the antrum of the right inferior pulmonary vein.,2,37
894,"Early hours of day of life 8. Very hazy, low lung volume (especially right side), massively distended abdomen, large liver and ascites, small gastric shadow, no bowel gas. UVC tip at T10 and to the left hepatic.",1,37
895,"AP radiograph of the pelvis at presentation showing the left hip joint in external rotation, abduction and mild flexion.",25,19
896,Extensive hemorrhage into sinus cavities.,13,5
897,Short axis delayed enhancement inversion recovery MR image with phase correction after 55 minutes (SSFP-GRE) post intravenous gadolinium injection shows the large inferolateral and inferoseptal acute myocardial infarction (arrowheads) with a persistent large area of microvascular obstruction (*). The impending rupture site in the lateral left ventricular wall shows delayed enhancement of the thin overlying cover of infracted myocardium (arrow).,9,60
898,"Chest X-ray taken at the first presentation showing milky opacifications in the basal parts of both lungs as well as a scoliosis. Courtesy of Prof. Kahn, Department of Imaging, University Hospital Leipzig.",8,32
899,Plain abdominal X-ray at admission with multiple body packers (arrows),8,10
900,HSG reveals bilateral fallopian tube patency.,2,6
901,"Lateral CXR view demonstrates dilated esophagus and fluid air level (E), contrast medium-filled inflatable inner cuff (C), connecting silicone tube (T) and subcutaneous sutured radiopaque access port (P).",9,28
902,Preoperative contrast-enhanced computed tomography (axial view) showing peripheral enhancement of the frontal collection.,3,13
903,Invertogram showing a big gas shadow in the abdomen. Arrow is indicating bowel gas in the urinary bladder through the big fistula.,10,22
904,63-year-old man with medial impingement.Ankle anteroposterior radiograph shows narrowing of medial gutter caused by bony overgrowth (arrows) at inferior tip of medial malleolus and medial talar neck.,3,27
905,"Herpes virus. FLAIR MRI sequence showing hyperintense lesions in the cerebellum, involving white and gray matter.",13,16
906,"Roentgenogram following curettage of the tumor, filling of the bone defect with bone cement and fixing with intramedullary nails.",51,19
907,"Cerebral MRI, T1-weighted, sagittal midline. Platybasia, short clivus, and small posterior cranial fossa. Arachnoidocele of the sella turcica.",5,18
908,Ultrasonographic appearance of dermoid cyst,33,5
909,Trans-axial section: The same cysts seen in re shown here in cross section using ultrasound. The cysts are located anterolaterally in the neck and the posterior nuchal region looks normal.,4,30
910,Post-operative follow up CT scan showing lack of flow through the left ICA.,28,13
911,Thread in loop in ultrasound view,64,6
912,CT scan of the chest showing a large right pulmonary mass.,20,11
913,"Transesophageal echocardiography after 1 month of dabigatran; 80° section showing disappearance of spontaneous echo-contrast in the enlarged left atrial appendage; in correspondence of the lateral appendage wall, a thin wall thickening is visible hardly to differentiate between thrombus or pectinate muscles. LA = Left atrium, LV = Left ventricle",7,49
914,"Treatment planning PET/CT scan in oesophageal carcinoma, illustrating differences between PTV determined by CT (pale blue) and PET/CT (dark blue). Some gross tumour lie outside the PTV determined using CT alone.",5,31
915,Control venography.,20,2
916,Color Doppler showing blood flow in sinusoids in the left ventricle.,2,11
917,Excelsotarsonemus caravelis sp. n. (female). Detail of the gnathosoma.,1,9
918,Transverse section in MRI showing solitary ring enhancing lesion in the pre-aqueductal region of mid brain of size 0.72 × 0.68 cm involving IIIrd nerve nucleus with peri lesional edema,29,30
919,CT abdomen demonstrating subcapsular collection.,7,5
920,View of the imperfect examination (white arrow) using intra-oral ultrasonography because the tumor is located near the base of the tongue in a 67-year-old man with carcinoma (arrows) on the left side of the tongue.,6,35
921,Selective right intercostal artery angiography was performed through a 5-French Michelson catheter from the supreme right intercostal artery to the right 12th intercostal artery. A common trunk of the right ninth and 10th intercostal arteries is pictured. No discrete bleeding source or arterial irregularity was identified.,6,46
922,DSA after deployment of endovascular stent,18,6
923,Cranial CT before radiotherapy.,66,4
924,Axial postcontrast computed tomography image showing minimal residual perihepatic fluid and/or scarring without a definable fluid collection.,94,17
925,Axial postcontrast T1-weighted image showing enhancement in the modiolus (arrow) of the right cochlea.,11,14
926,Häring prosthesis displaced to the stomach in a patient with a cardiac tumor,11,13
927,"Three-dimensional rendering of conventional magnetic resonance images obtained in this patient with a sural intraneural ganglion cyst. Maximum intensity projection image created from the same series as shows the entire course of the cyst (asterisk) and well demonstrates the recurrent course of the cyst (white arrowhead) and its origin from the subtalar joint (white arrow) in a single image. C, calcaneus; F, fibular; T, tibia; t, talus.",27,67
928,"35-year-old male presented with 2 weeks history of dyspnea and fever and was diagnosed with pneumonia. Frontal chest radiograph reveals opacified right upper lobe with bulge in the minor fissure (white arrow) representing the radiologic sign, bulging fissure sign.",14,39
929,"Variation in optical density of fibers as a function of pressure. Growth of the two fibers shown in this video-enhanced phase-contrast micrograph was initiated at 150 atm. At the point indicated by the black arrow the pressure was raised to 275 atm for 2 min, resulting in formation of a short segment with reduced optical density. When the pressure was lowered to 125 atm (white arrow), both the optical density and the growth rate increased. Note the abrupt change in optical density at the points of pressure shift. The arrowheads indicate the vesicle associated with each fiber. Bar, 5 μm.",110,100
930,Preoperative computed tomography angiography.,245,4
931,Computed tomography scan of the abdomen showing a suspicious oval 3.5 × 3 cm mass in the antrum of the stomach.,60,21
932,"Radiologic findings for chest computed tomography (CT). CT scan showed marked enlarged recurred mass lesion in right mediastinal pleural areas, which invaded to right pulmonary trunk and superior vena cava.",1,30
933,Computed tomography scan of the patient shows epidural hematoma at right temporoparietal area and subarachnoid hemorrhage at both sylvian fissure with diffuse brain swelling.,4,24
934,CT scan showing bowel obstruction and peritoneal thickening due to recurrence.,8,11
935,"Coronal STIR MRI demonstrating bilateral asymmetrical high signal in deep (arrow head) and superficial (arrow) temporalis muscles (Case 1, Table 3).",3,21
936,Abdominal computed tomography scan findings. A 4.2 cm × 4.1 cm hypodense mass within the head of the pancreas.,10,19
937,Upward pressure on the anterior vaginal wall in the region of midurethra by a hemostat (H) prevents reflux.,20,18
938,Two-dimensional ultrasound view (orthogonal plane) of suspected ectrodactyly on right hand at 132/7 weeks of gestational age.,12,17
939,Ultrasound images in the right half of the thyroid gland of an 81-year-old man with squamous cell carcinoma on the right side of the tongue and metastasis in one of the superior internal jugular lymph nodes. A 2.6-cm echogenic mass (arrows) in the right half of the thyroid gland is shown.,9,51
940,Guide wire inserted in the center of the femoral neck.,5,10
941,"37-year-old male with severe aortic regurgitation shown by transthoracic echocardiography. Reformatted CT image shows large area (asterisk) of commissural incompetency between right and left coronary cusps. Aortic regurgitant orifice area via CT measured 1.49 cm2. Effective regurgitant orifice area was 0.82 cm2 and pressure half-time, 259 ms at echocardiography.",15,49
942,"Magnetic resonance imaging both hips, coronal view.",1,7
943,Safe zone: between A and B. A: tip of fibular head. B: circumference line of the fibular head.,7,18
944,Axial T-1 weighted MR image showing bilateral carotid body tumors; both with complete encasement of the ICA and ECA; Shamblin type III.,41,22
945,Reverse flow in the aortic arch.,151,6
946,Perihepatic lesion in pre-contrast T1 volume interpolated breathhold examination (VIBE) fat saturated (FS).,8,13
947,The first case with a fracture of the right anterior column associated with a fractured left the obturator ring and left sacroiliac disjunction,14,23
948,"Lateral radiograph after 2 weeks, showing dislocation of C4.",2,9
949,Axial T2-weighted FAT SAT image illustrating diffuse muscle edema involving the lower two-thirds of the anterior compartment muscles.,1,18
950,"Axial view of a postoperative computer tomography detecting a lateral screw misplacement (arrow) among group B at the left-sided T4, which was corrected due to possible implant instability",1,28
951,A panorex image of the jaws showing generalized microdontia,28,9
952,Abdominal radiograph reveals distended bowel loop with fecal materials.,14,9
953,Postoperative X-ray of knee joint anteroposterior view showing femoral tunnels of previous double-bundle anterior cruciate ligament (ACL) reconstruction and revision single-bundle ACL reconstruction. A new femoral tunnel was made at the 2 O’clock position between the previous two femoral tunnels. Anteromedial (AM): Tunnel for AM bundle of previous double-bundle ACL reconstruction. Posterolateral (PL): Tunnel for PL bundle of previous double-bundle ACL reconstruction. Single-bundle (SB): Tunnel for revisional single-bundle ACL reconstruction,2,70
954,Abdominal CT scan showing a fistulous connection between the lesser curvature of the stomach and the liver (arrow).,9,18
955,"Axial contrast-enhanced CT (arterial phase) at the level of the ventricular chambers shows a hypodense filling defect (arrow), within the right ventricle (RV), consistent with an intracavitary thrombus, along with a localized thickening (arrowheads) of the apical myocardium. CT = computed tomography.",1,42
956,Sagittal T1W image shows only cord swelling (arrows). Vertebral marrow hyperintensity is also noted (arrowheads),52,15
957,CT-scan brain showing brain metastases,12,5
958,Coronal angio computed tomography of the chest showing pericardial effusion.,11,10
959,"Measurement of mandibular BMD by dual-energy X-ray absorptiometry.Abbreviation: BMD, bone mineral density.",375,12
960,"Axial contrast-enhanced CT scan showed enhanced soft tissue nodules (asterisk) that have infiltrated the pericardium, moderate amount of pericardial effusion (arrow), right pleural effusion (E), and partially occlusive clot in posterobasal segmental branch of right lower lobe pulmonary artery (dashed arrow) (RA: right atrium, LA: left atrium, RV: right ventricle, LV: left ventricle).",2,53
961,Retrieval of the inner blocking balloon of the MYNXGRIP and of the sheath towards the puncture site. Note the slight shift between the sheath and the blocking balloon indicating appropriate wall contact.,9,32
962,CT scan showing ovoid mass in gallbladder.,22,7
963,Venous phase DSA of the left ICA demonstrates a DAVF drained by left cerebellopontine angle varices and peripontine and perimedullary venous plexi.,3,22
964,Initial ultrasonography of the abdomen shows concentric wall thickening of the distended small bowel loop (arrow). Note the ascites (arrowhead).,6,20
965,Chest radiograph upon presentation to the emergency department.,12,8
966,Panoramic CBCT demonstrating the lesion causing loss of bony structures with internal calcifications and resorption of root in relation to 14,38,21
967,Panoramic radiograph shows ill-defined bone destruction on left mandibular canine area. The lesion has ragged border and shows sclerotic change on the surrounding trabecular bone.,5,25
968,Discography was performed to confirm the target disc and to help identify the location of the herniation; the needle was parallel to the upper endplate of the lower vertebral body.,1,30
969,Axial CT scan abdomen showing cyst.,11,6
970,High resolution CT scan of chest showing apical bullae and a non-resolving pneumothorax with a well sited drain.,10,18
971,Extensive mediastinal lymphadenopathy on staging CT scan.,39,7
972,Lower extremity magnetic resonance angiography after second embolic episode. Contrast-enhanced MRI revealed interruption of the left popliteal artery and right anterior tibial artery.,1,23
973,A computed tomography (CT) image of the hematoma. A transverse CT image of the abdomen shows an 8 cm × 3.6 cm loculated hematoma of the right iliacus muscle (yellow arrow).,10,31
974,Non‐contrast CT revealed aortic dissection of Stanford type A,2,9
975,Hip X-ray image showing total replacement at left (right side) (from Wikipedia).,2,12
976,Radiographic control after distraction osteogenesis. Vertical augmentation of the bone is significant,65,12
977,CT contrast image of the right lung adenocarcinoma.,4,8
978,Ethoxybenzyl-magnetic resonance imaging before the administration of Oct-LAR. The red arrow indicates a lower uptake region in the S7 region of the liver.,68,23
979,Shows tree in bud appearance on CECT chest suggestive of active tuberculosis.,26,12
980,Repeat MRI of brain FLAIR sequence showing complete resolution of the hyperintensity of SCC,17,14
981,Computed tomography scan of the vertebral body of Th7 showing bone destruction with partial cortical perforation.,34,16
982,"Anteroposterior radiograph showing the tibia and fibula. It was taken immediately after operation and shows barely visible fracture lines, but no callus.",1,22
983,Occlusal radiograph showing bilateral congenital absence of lateral incisors,1,9
984,Chest X-ray showing marked improvement with steroid treatment,48,8
985,Second Gamma Knife treatment: 20 Gy for a single left posterior parietal metastatic lesion.,25,14
986,Computed tomography scan showed the well circumscribed mass in the posterior mediastinum (sagittal view).,71,14
987,"Lobular parenchyma of the pancreas, undilated pancreatic duct, normal size of the gland, no degenerative changes in the parenchyma, even echo distribution",2,22
988,CT scan of the upper airway,1,6
989,Digital periapical X-ray with reference lines and points for measuring right abutments alveolar bone height at 6 months follow-up,2,19
990,Large AVM with adjacent hemorrhage from tooth extraction. Note the mandibular ramus bone remodeling from the long-standing AVM on the right side.,134,22
991,Transthoracic echocardiographic image (short axis view) showing large right atrial mass from tumor extension in the patient (shown by arrow).,18,20
992,The lateral ankle after repair of the superior peroneal retinaculum,18,10
993,Subretinal haemorrhage. Axial US shows the subretinal space (asterisks) filled with an echogenic material consistent with blood,3,17
994,ERCP showed CBD was cannulated at the ampulla using guidewire technique.,1,11
